Date,Tournament,Surface,Rd,Rk,vRk,Result,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
16-Aug-09,Cincinnati Masters,Hard,R16,4,35,(4)Djokovic d. Jeremy Chardy [FRA],7-5 6-3,1.34,11.30%,6.50%,58.10%,75.00%,53.80%,3/5,01:33
16-Aug-09,Cincinnati Masters,Hard,R32,4,54,(4)Djokovic d. (Q)Ivan Ljubicic [CRO],7-6(5) 6-4,1.95,14.30%,1.60%,57.10%,97.20%,63.00%,1/1,01:40
10-Aug-09,Canada Masters,Hard,QF,4,5,(5)Andy Roddick [USA] d. (4)Djokovic,6-4 7-6(4),0.75,12.80%,7.70%,55.10%,76.70%,45.70%,1/3,01:43
10-Aug-09,Canada Masters,Hard,R16,4,65,(4)Djokovic d. Mikhail Youzhny [RUS],6-3 6-4,1.21,4.80%,6.50%,67.70%,73.80%,60.00%,4/5,01:23
10-Aug-09,Canada Masters,Hard,R32,4,225,(4)Djokovic d. (WC)Peter Polansky [CAN],6-4 7-6(6),1.25,10.50%,9.20%,61.80%,83.00%,41.40%,4/5,01:59
22-Jun-09,Wimbledon,Grass,QF,4,34,(24)Tommy Haas [GER] d. (4)Djokovic,7-5 7-6(6) 4-6 6-3,0.89,10.50%,3.20%,58.90%,79.50%,54.90%,2/5,02:45
22-Jun-09,Wimbledon,Grass,R16,4,46,(4)Djokovic d. Dudi Sela [ISR],6-2 6-4 6-1,1.54,15.30%,5.60%,63.90%,80.40%,46.20%,4/6,01:30
22-Jun-09,Wimbledon,Grass,R32,4,25,(4)Djokovic d. (28)Mardy Fish [USA],6-4 6-4 6-4,1.6,9.90%,1.20%,63.00%,74.50%,76.70%,0/1,01:59
22-Jun-09,Wimbledon,Grass,R64,4,106,(4)Djokovic d. (Q)Simon Greul [GER],7-5 6-1 6-4,1.29,13.40%,6.20%,64.90%,63.50%,52.90%,6/10,02:00
22-Jun-09,Wimbledon,Grass,R128,4,81,(4)Djokovic d. Julien Benneteau [FRA],6-7(8) 7-6(1) 6-2 6-4,1.33,10.90%,3.10%,68.00%,82.80%,48.80%,3/4,03:29
08-Jun-09,Halle,Grass,F,4,41,(WC)Tommy Haas [GER] d. (2)Djokovic,6-3 6-7(4) 6-1,0.76,4.70%,3.50%,53.50%,63.00%,60.00%,7/10,02:12
08-Jun-09,Halle,Grass,SF,4,136,(2)Djokovic d. (Q)Olivier Rochus [BEL],7-6(7) 6-4,1.15,13.70%,2.70%,65.80%,81.30%,44.00%,2/3,01:55
08-Jun-09,Halle,Grass,QF,4,28,(2)Djokovic d. (7)Jurgen Melzer [AUT],6-1 6-4,1.81,12.20%,2.00%,75.50%,81.10%,41.70%,1/2,01:07
08-Jun-09,Halle,Grass,R16,4,56,(2)Djokovic d. Florent Serra [FRA],5-7 7-5 6-1,1.33,16.10%,1.10%,52.90%,78.30%,58.50%,1/11,02:05
08-Jun-09,Halle,Grass,R32,4,66,(2)Djokovic d. Simone Bolelli [ITA],7-5 6-2,1.48,13.10%,3.30%,72.10%,75.00%,58.80%,2/2,01:24
25-May-09,Roland Garros,Clay,R32,4,31,(29)Philipp Kohlschreiber [GER] d. (4)Djokovic,6-4 6-4 6-4,0.82,3.30%,3.30%,64.40%,65.50%,40.60%,5/10,02:21
25-May-09,Roland Garros,Clay,R64,4,110,(4)Djokovic d. (Q)Sergiy Stakhovsky [UKR],6-3 6-4 6-1,1.47,6.50%,2.60%,68.80%,67.90%,62.50%,3/5,02:04
25-May-09,Roland Garros,Clay,R128,4,102,(4)Djokovic d. Nicolas Lapentti [ECU],6-3 3-1 RET,1.96,2.40%,0.00%,66.70%,82.10%,64.30%,0/0,01:18
10-May-09,Madrid Masters,Clay,SF,4,1,(1)Rafael Nadal [ESP] d. (3)Djokovic,3-6 7-6(5) 7-6(9),1.18,6.30%,2.70%,61.60%,81.20%,55.80%,1/2,04:03
10-May-09,Madrid Masters,Clay,QF,4,54,(3)Djokovic d. (WC)Ivan Ljubicic [CRO],6-4 6-4,1.3,8.20%,1.60%,63.90%,76.90%,63.60%,2/2,01:45
10-May-09,Madrid Masters,Clay,R16,4,36,(3)Djokovic d. Andreas Seppi [ITA],6-4 6-4,1.44,5.30%,3.50%,64.90%,78.40%,55.00%,1/2,01:38
10-May-09,Madrid Masters,Clay,R32,4,65,(3)Djokovic d. (WC)Oscar Hernandez [ESP],6-3 6-3,1.54,5.40%,5.40%,67.90%,81.60%,44.40%,0/0,01:39
04-May-09,Belgrade,Clay,F,3,179,(1)Djokovic d. (LL)Lukasz Kubot [POL],6-3 7-6(0),1.38,8.70%,2.90%,66.70%,69.60%,60.90%,6/9,01:50
04-May-09,Belgrade,Clay,SF,3,36,(1)Djokovic d. (4)Andreas Seppi [ITA],4-6 6-1 6-2,1.24,1.00%,3.10%,60.80%,69.50%,50.00%,6/8,02:17
04-May-09,Belgrade,Clay,QF,3,38,(1)Djokovic d. (5)Viktor Troicki [SRB],6-3 6-2,1.53,4.10%,0.00%,69.40%,76.50%,46.70%,2/3,01:10
04-May-09,Belgrade,Clay,R16,3,63,(1)Djokovic d. Janko Tipsarevic [SRB],6-2 4-6 6-0,1.58,9.50%,4.80%,63.50%,77.50%,52.20%,2/4,02:01
27-Apr-09,Rome Masters,Clay,F,3,1,(1)Rafael Nadal [ESP] d. (3)Djokovic,7-6(2) 6-2,0.79,0.00%,3.00%,59.10%,59.00%,48.10%,1/5,02:03
27-Apr-09,Rome Masters,Clay,SF,3,2,(3)Djokovic d. (2)Roger Federer [SUI],4-6 6-3 6-3,1.08,3.00%,6.00%,50.00%,64.00%,56.00%,8/11,02:11
27-Apr-09,Rome Masters,Clay,QF,3,5,(3)Djokovic d. (5)Juan Martin Del Potro [ARG],6-3 6-4,1.27,6.30%,4.70%,64.10%,65.90%,65.20%,2/3,01:37
27-Apr-09,Rome Masters,Clay,R16,3,17,(3)Djokovic d. (13)Tommy Robredo [ESP],6-1 6-1,1.77,5.90%,7.80%,62.70%,68.80%,52.60%,3/4,01:04
27-Apr-09,Rome Masters,Clay,R32,3,33,(3)Djokovic d. Albert Montanes [ESP],7-6(5) 6-0,1.32,6.30%,7.80%,50.00%,75.00%,43.80%,2/4,01:38
12-Apr-09,Monte Carlo Masters,Clay,F,3,1,(1)Rafael Nadal [ESP] d. (3)Djokovic,6-3 2-6 6-1,0.83,4.60%,3.40%,62.10%,55.60%,33.30%,1/7,02:43
12-Apr-09,Monte Carlo Masters,Clay,SF,3,16,(3)Djokovic d. (13)Stan Wawrinka [SUI],4-6 6-1 6-3,1.3,1.20%,4.90%,56.80%,76.10%,48.60%,4/6,02:27
12-Apr-09,Monte Carlo Masters,Clay,QF,3,8,(3)Djokovic d. (7)Fernando Verdasco [ESP],6-2 4-6 6-3,1.29,4.60%,5.70%,62.10%,77.80%,51.50%,4/6,02:18
