Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
18_Jan_2016,Australian Open,Hard,R128,155,22,(25)Jack Sock [USA] d. (Q)Fritz,6-4 3-6 0-6 6-3 6-4,,1.23,16.00%,2.50%,60.50%,76.40%,61.70%,9-Jun,2:27
18_Jan_2016,Australian Open,Hard,Q3,155,171,Fritz d. Mischa Zverev [GER],6-3 6-7 6-4,,,,,,,,,
18_Jan_2016,Australian Open,Hard,Q2,155,121,Fritz d. (9)Michael Berrer [GER],6-3 1-6 6-1,,,,,,,,,
18_Jan_2016,Australian Open,Hard,Q1,155,190,Fritz d. Hiroki Moriya [JPN],6-3 6-1,,,,,,,,,
4_Jan_2016,Happy Valley CH,Hard,F,174,100,(8)Fritz d. (1)Dudi Sela [ISR],7-6(7) 6-2,,1.28,14.90%,4.50%,67.20%,77.80%,50.00%,4-Mar,1:18
4_Jan_2016,Happy Valley CH,Hard,SF,174,592,(8)Fritz d. (Q)Andrew Whittington [AUS],6-0 6-2,,1.97,16.30%,7.00%,48.80%,81.00%,59.10%,0/0,0:53
4_Jan_2016,Happy Valley CH,Hard,QF,174,269,(8)Fritz d. (WC)Alex Bolt [AUS],7-6(5) 6-4,,1.18,9.00%,3.00%,58.20%,82.10%,57.10%,2-Jan,1:13
4_Jan_2016,Happy Valley CH,Hard,R16,174,198,(8)Fritz d. Alexander Sarkissian [USA],6-3 6-7(0) 7-6(5),,1.28,13.10%,2.00%,53.50%,83.00%,60.90%,0/1,2:22
4_Jan_2016,Happy Valley CH,Hard,R32,174,841,(8)Fritz d. (WC)Marc Polmans [AUS],6-2 6-2,,2.33,12.80%,5.10%,48.70%,84.20%,70.00%,2-Jan,1:04
16_Nov_2015,Champaign CH,Hard,F,207,290,Henri Laaksonen [SUI] d. Fritz,4-6 6-2 6-2,,0.75,11.00%,6.10%,41.50%,76.50%,39.60%,12-Jul,
16_Nov_2015,Champaign CH,Hard,SF,207,461,Fritz d. (Q)Mackenzie Mcdonald [USA],6-7(4) 6-2 6-2,,1.24,10.60%,1.80%,45.10%,80.40%,54.80%,15/15,
16_Nov_2015,Champaign CH,Hard,QF,207,100,Fritz d. (1)Malek Jaziri [TUN],6-1 6-2, (ch),1.9,17.90%,3.60%,55.40%,83.90%,56.00%,5-May,
16_Nov_2015,Champaign CH,Hard,R16,207,185,Fritz d. Daniel Evans [GBR],6-2 3-6 6-4, (ch),1.02,18.50%,4.60%,49.10%,75.50%,45.50%,10-Jul,
16_Nov_2015,Champaign CH,Hard,R32,207,192,Fritz d. Giovanni Lapentti [ECU],6-3 6-2,,1.64,20.00%,4.00%,62.00%,77.40%,63.20%,0/0,
10_Nov_2015,Knoxville CH,Hard,R32,207,125,(6)John Patrick Smith [AUS] d. Fritz,6-4 6-4,,0.8,0.00%,5.30%,49.10%,75.00%,48.30%,0/3,
26_Oct_2015,Monterrey CH,Hard,QF,228,117,(5)Thiemo De Bakker [NED] d. (WC)Fritz,6-4 7-6(1),,0.62,6.50%,7.50%,50.50%,61.70%,47.80%,9-Jun,
26_Oct_2015,Monterrey CH,Hard,R16,228,367,(WC)Fritz d. Marcelo Arevalo [ESA],6-3 6-3,,1.46,6.60%,8.20%,52.50%,87.50%,44.80%,3-Feb,
26_Oct_2015,Monterrey CH,Hard,R32,228,129,(WC)Fritz d. (4)Bjorn Fratangelo [USA],6-1 6-7(8) 6-3,,1.35,10.60%,1.90%,48.10%,80.00%,59.30%,3-Mar,
19_Oct_2015,Las Vegas CH,Hard,R16,232,203,Grega Zemlja [SLO] d. (S)Fritz,6-7(6) 6-2 6-2,,0.79,8.00%,7.00%,59.00%,67.80%,43.90%,10-Jun,
19_Oct_2015,Las Vegas CH,Hard,R32,232,268,(S)Fritz d. Nicolas Barrientos [COL],6-3 6-2,,1.57,24.50%,3.80%,52.80%,78.60%,64.00%,0/0,
12_Oct_2015,Fairfield CH,Hard,F,339,110,(S)Fritz d. (3)Dustin Brown [GER],6-3 6-4,,1.56,15.00%,3.30%,66.70%,80.00%,65.00%,3-Mar,
12_Oct_2015,Fairfield CH,Hard,SF,339,136,(S)Fritz d. (4)Blaz Rola [SLO],6-3 6-3,,1.29,3.00%,3.00%,59.70%,70.00%,55.60%,6-May,
12_Oct_2015,Fairfield CH,Hard,QF,339,162,(S)Fritz d. (6)Blaz Kavcic [SLO],6-4 6-1,,1.69,11.30%,5.70%,58.50%,77.40%,63.60%,3-Mar,
12_Oct_2015,Fairfield CH,Hard,R16,339,100,(S)Fritz d. (1)Tim Smyczek [USA],6-2 6-3,,1.81,12.20%,0.00%,65.30%,84.40%,64.70%,2-Feb,
12_Oct_2015,Fairfield CH,Hard,R32,339,314,(S)Fritz d. (Q)Henri Laaksonen [SUI],6-2 6-3,,1.8,13.00%,6.50%,67.40%,87.10%,60.00%,0/0,
5_Oct_2015,Sacramento CH,Hard,F,694,153,(WC)Fritz d. (7)Jared Donaldson [USA],6-4 3-6 6-4, (ch),0.88,11.50%,7.10%,49.60%,75.00%,52.60%,15/16,
5_Oct_2015,Sacramento CH,Hard,SF,694,357,(WC)Fritz d. (WC)Matt Reid [AUS],6-3 7-6(4),,2.15,12.10%,1.70%,69.00%,85.00%,83.30%,0/0,
5_Oct_2015,Sacramento CH,Hard,QF,694,428,(WC)Fritz d. (Q)Marcos Giron [USA],6-3 6-4,,1.52,5.50%,0.00%,54.50%,73.30%,68.00%,4-Mar,
5_Oct_2015,Sacramento CH,Hard,R16,694,108,(WC)Fritz d. (3)Dustin Brown [GER],6-7(3) 7-6(5) 7-6(7),,0.85,8.20%,1.30%,60.80%,72.90%,51.60%,13/14,
5_Oct_2015,Sacramento CH,Hard,R32,694,237,(WC)Fritz d. Connor Smith [USA],6-4 6-0,,1.62,14.50%,0.00%,65.50%,83.30%,36.80%,3-Mar,
31_Aug_2015,US Open,Hard,Q1,685,123,(19)Luca Vanni [ITA] d. (WC)Fritz,6-3 6-3,,,,,,,,,
10_Aug_2015,Aptos CH,Hard,R32,675,311,(Q)Mischa Zverev [GER] d. (WC)Fritz,6-7(1) 7-5 6-3,,0.98,8.70%,3.30%,58.70%,74.10%,60.50%,8-Apr,
21_Jun_2015,Nottingham,Grass,R32,761,16,(3)Feliciano Lopez [ESP] d. (WC)Fritz,6-3 6-3,,0.27,11.30%,0.00%,50.70%,58.30%,51.40%,11-Aug,
21_Jun_2015,Nottingham,Grass,R64,761,66,(WC)Fritz d. Pablo Carreno Busta [ESP],6-1 6-4,,1.43,15.00%,1.70%,56.70%,73.50%,53.80%,4-Mar,
11_May_2015,Spain F13,Clay,SF,823,608,Tommy Paul [USA] d. (JE)Fritz,3-6 6-4 6-3,,,,,,,,,
11_May_2015,Spain F13,Clay,QF,823,245,(JE)Fritz d. (1)Jordi Samper Montana [ESP],7-5 6-2,,,,,,,,,
11_May_2015,Spain F13,Clay,R16,823,812,(JE)Fritz d. (Q)Jaume Pla Malfeito [ESP],7-5 6-2,,,,,,,,,
11_May_2015,Spain F13,Clay,R32,823,1112,(JE)Fritz d. (LL)Reilly Opelka [USA],7-6(2) 6-4,,,,,,,,,
23_Mar_2015,USA F11,Hard,QF,803,279,(6)Jason Jung [TPE] d. (WC)Fritz,6-3 6-3,,,,,,,,,
23_Mar_2015,USA F11,Hard,R16,803,211,(WC)Fritz d. (1)Fabiano De Paula [BRA],6-2 6-0,,,,,,,,,
