Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
22_Apr_2024,Madrid Masters,Clay,QF,3,8,(7)Andrey Rublev [RUS] d. (2)Alcaraz,4-6 6-3 6-2, (ch),0.78,1.20%,2.50%,70.40%,59.60%,70.80%,13-Oct,1:59
22_Apr_2024,Madrid Masters,Clay,R16,3,24,(2)Alcaraz d. (23)Jan Lennard Struff [GER],6-3 6-7(5) 7-6(4),,0.96,2.30%,3.10%,63.40%,59.00%,68.80%,10-Aug,2:52
22_Apr_2024,Madrid Masters,Clay,R32,3,63,(2)Alcaraz d. Thiago Seyboth Wild [BRA],6-3 6-3,,1.89,4.30%,2.20%,67.40%,87.10%,46.70%,2-Jan,1:15
22_Apr_2024,Madrid Masters,Clay,R64,3,59,(2)Alcaraz d. Alexander Shevchenko [KAZ],6-2 6-1, (ch),1.73,2.60%,0.00%,68.40%,65.40%,58.30%,3-Jan,1:08
18_Mar_2024,Miami Masters,Hard,QF,2,12,(11)Grigor Dimitrov [BUL] d. (1)Alcaraz,6-2 6-4, (ch),0.74,6.80%,5.10%,57.60%,55.90%,52.00%,8-Apr,1:32
18_Mar_2024,Miami Masters,Hard,R16,2,24,(1)Alcaraz d. (23)Lorenzo Musetti [ITA],6-3 6-3, (ch),1.4,5.50%,1.80%,63.60%,74.30%,55.00%,3-Feb,1:26
18_Mar_2024,Miami Masters,Hard,R32,2,47,(1)Alcaraz d. Gael Monfils [FRA],6-2 6-4, (ch),1.71,2.10%,0.00%,80.90%,76.30%,44.40%,2-Jan,1:14
18_Mar_2024,Miami Masters,Hard,R64,2,64,(1)Alcaraz d. Roberto Carballes Baena [ESP],6-2 6-1, (ch),1.58,6.30%,2.10%,70.80%,79.40%,35.70%,3-Mar,1:25
4_Mar_2024,Indian Wells Masters,Hard,F,2,4,(2)Alcaraz d. (4)Daniil Medvedev [RUS],7-6(5) 6-1, (ch),1.62,4.80%,1.60%,64.50%,75.00%,68.20%,2-Jan,1:42
4_Mar_2024,Indian Wells Masters,Hard,SF,2,3,(2)Alcaraz d. (3)Jannik Sinner [ITA],1-6 6-3 6-2, (ch),1.09,0.00%,2.80%,65.30%,70.20%,52.00%,4-Feb,2:05
4_Mar_2024,Indian Wells Masters,Hard,QF,2,6,(2)Alcaraz d. (6)Alexander Zverev [GER],6-3 6-1, (ch),3.2,2.60%,0.00%,79.50%,87.10%,75.00%,0/0,1:29
4_Mar_2024,Indian Wells Masters,Hard,R16,2,58,(2)Alcaraz d. Fabian Marozsan [HUN],6-3 6-3, (ch),1.92,8.20%,4.10%,63.30%,83.90%,66.70%,2-Feb,1:15
4_Mar_2024,Indian Wells Masters,Hard,R32,2,31,(2)Alcaraz d. (31)Felix Auger Aliassime [CAN],6-2 6-3, (ch),1.92,6.80%,2.30%,72.70%,78.10%,66.70%,1-Jan,1:17
4_Mar_2024,Indian Wells Masters,Hard,R64,2,40,(2)Alcaraz d. Matteo Arnaldi [ITA],6-7(5) 6-0 6-1, (ch),1.73,2.60%,1.30%,56.60%,86.00%,54.50%,4-Mar,2:14
19_Feb_2024,Rio De Janeiro,Clay,R32,2,117,(WC)Thiago Monteiro [BRA] d. (1)Alcaraz,1-1 RET,,0.83,0.00%,20.00%,40.00%,0.00%,33.30%,0/1,0:18
12_Feb_2024,Buenos Aires,Clay,SF,2,21,(3)Nicolas Jarry [CHI] d. (1)Alcaraz,7-6(2) 6-3, (ch),1.02,0.00%,3.30%,65.60%,72.50%,52.40%,4-Feb,1:55
12_Feb_2024,Buenos Aires,Clay,QF,2,152,(1)Alcaraz d. (Q)Andrea Vavassori [ITA],7-6(1) 6-1, (ch),1.3,1.40%,1.40%,79.70%,67.30%,71.40%,1-Jan,1:40
12_Feb_2024,Buenos Aires,Clay,R16,2,134,(1)Alcaraz d. (Q)Camilo Ugo Carabelli [ARG],6-2 7-5, (ch),1.29,1.60%,8.20%,72.10%,70.50%,11.80%,9-May,1:45
15_Jan_2024,Australian Open,Hard,QF,2,6,(6)Alexander Zverev [GER] d. (2)Alcaraz,6-1 6-3 6-7(2) 6-4,,0.75,5.10%,1.70%,67.50%,67.10%,42.10%,10-Mar,3:05
15_Jan_2024,Australian Open,Hard,R16,2,60,(2)Alcaraz d. Miomir Kecmanovic [SRB],6-4 6-4 6-0, (ch),1.9,7.20%,0.00%,68.10%,83.00%,63.60%,0/0,1:49
15_Jan_2024,Australian Open,Hard,R32,2,140,(2)Alcaraz d. (WC)Juncheng Shang [CHN],6-1 6-1 1-0 RET,,4.08,8.80%,2.90%,55.90%,84.20%,86.70%,0/0,1:06
15_Jan_2024,Australian Open,Hard,R64,2,46,(2)Alcaraz d. Lorenzo Sonego [ITA],6-4 6-7(3) 6-3 7-6(3),,1.4,9.20%,3.10%,68.50%,77.50%,70.70%,4-Mar,3:25
15_Jan_2024,Australian Open,Hard,R128,2,131,(2)Alcaraz d. Richard Gasquet [FRA],7-6(5) 6-1 6-2,,1.58,9.60%,3.20%,66.00%,72.60%,65.60%,2-Feb,2:22
13_Nov_2023,Tour Finals,Hard,SF,2,1,(1)Novak Djokovic [SRB] d. (2)Alcaraz,6-3 6-2, (ch),0.64,17.90%,1.80%,83.90%,61.70%,33.30%,8-May,1:28
13_Nov_2023,Tour Finals,Hard,RR,2,3,(2)Alcaraz d. (3)Daniil Medvedev [RUS],6-4 6-4, (ch),1.33,5.40%,1.80%,73.20%,75.60%,66.70%,2-Feb,1:20
13_Nov_2023,Tour Finals,Hard,RR,2,5,(2)Alcaraz d. (5)Andrey Rublev [RUS],7-5 6-2, (ch),2.75,10.60%,0.00%,72.30%,94.10%,61.50%,0/0,1:14
13_Nov_2023,Tour Finals,Hard,RR,2,7,(7)Alexander Zverev [GER] d. (2)Alcaraz,6-7(3) 6-3 6-4, (ch),0.85,12.00%,2.20%,69.60%,73.40%,53.60%,8-May,2:31
30_Oct_2023,Paris Masters,Hard,R32,2,45,(Q)Roman Safiullin [RUS] d. (2)Alcaraz,6-3 6-4, (ch),0.88,0.00%,3.70%,64.80%,68.60%,36.80%,8-Apr,1:37
2_Oct_2023,Shanghai Masters,Hard,R16,2,19,(18)Grigor Dimitrov [BUL] d. (1)Alcaraz,5-7 6-2 6-4, (ch),0.98,5.10%,0.00%,67.90%,71.70%,56.00%,5-Jan,2:10
2_Oct_2023,Shanghai Masters,Hard,R32,2,33,(1)Alcaraz d. (30)Daniel Evans [GBR],7-6(1) 6-4,,1.49,9.20%,1.50%,63.10%,70.70%,66.70%,6-Apr,2:23
2_Oct_2023,Shanghai Masters,Hard,R64,2,73,(1)Alcaraz d. Gregoire Barrere [FRA],6-2 7-5,,1.31,6.10%,3.00%,75.80%,70.00%,50.00%,7-Jun,1:42
