Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
10_Sep_2018,Italy F27,Clay,R32,882,,Sinner d. (Q)Demian Raab [GER],6-3 6-3,,,,,,,,,
3_Sep_2018,Genova CH,Clay,Q1,891,327,(5)Juan Pablo Varillas [PER] d. (WC)Sinner,6-1 6-3,,0.68,1.90%,7.70%,46.20%,41.70%,35.70%,9-Mar,1:19
27_Aug_2018,Como CH,Clay,R32,891,157,Andrej Martin [SVK] d. (WC)Sinner,6-3 6-2,,0.62,0.00%,6.60%,52.50%,53.10%,41.40%,9-Mar,1:10
20_Aug_2018,Italy F24,Clay,R16,1115,471,(2)Alessandro Petrone [ITA] d. Sinner,5-7 6-3 6-1,,,,,,,,,
20_Aug_2018,Italy F24,Clay,R32,1115,,Sinner d. (WC)Andrea Gola [ITA],4-6 6-4 6-4,,,,,,,,,
13_Aug_2018,Italy F23,Clay,F,1159,397,Peter Heller [GER] d. Sinner,6-1 6-3,,,,,,,,,
13_Aug_2018,Italy F23,Clay,SF,1159,1045,Sinner d. Alessandro Ceppellini [ITA],6-7(4) 6-4 6-4,,,,,,,,,
13_Aug_2018,Italy F23,Clay,QF,1159,1392,Sinner d. (PR)Joy Vigani [ITA],7-6(3) 6-2,,,,,,,,,
13_Aug_2018,Italy F23,Clay,R16,1159,767,Sinner d. (3)Lorenzo Frigerio [ITA],7-5 6-4,,,,,,,,,
13_Aug_2018,Italy F23,Clay,R32,1159,1499,Sinner d. (Q)Gianluca Acquaroli [ITA],6-1 6-2,,,,,,,,,
6_Aug_2018,Italy F22,Clay,R16,1161,431,(7)Juan Pablo Ficovich [ARG] d. (Q)Sinner,6-3 6-3,,,,,,,,,
6_Aug_2018,Italy F22,Clay,R32,1161,,(Q)Sinner d. Giacomo Dambrosi [ITA],6-3 6-7(5) 6-4,,,,,,,,,
25_Jun_2018,Milan CH,Clay,Q1,1169,389,Jordi Samper Montana [ESP] d. (WC)Sinner,6-3 6-4,,0.75,1.90%,11.10%,53.70%,58.60%,36.00%,6-Jan,1:27
28_May_2018,Italy F12,Clay,R16,1197,558,Maxime Tabatruong [FRA] d. Sinner,6-2 6-4,,,,,,,,,
28_May_2018,Italy F12,Clay,R32,1197,1087,Sinner d. Federico Iannaccone [ITA],6-4 6-0,,,,,,,,,
14_May_2018,Italy F10,Clay,QF,1480,671,Giovanni Fonio [ITA] d. (WC)Sinner,6-3 6-3,,,,,,,,,
14_May_2018,Italy F10,Clay,R16,1480,,(WC)Sinner d. Filippo Moroni [ITA],7-6(2) 6-3,,,,,,,,,
14_May_2018,Italy F10,Clay,R32,1480,761,(WC)Sinner d. Jacopo Stefanini [ITA],6-3 6-1,,,,,,,,,
7_May_2018,Poland F2,Clay,R16,1476,440,(2)Pawel Cias [POL] d. Sinner,4-6 6-2 6-4,,,,,,,,,
7_May_2018,Poland F2,Clay,R32,1476,759,Sinner d. Timur Kiuamov [RUS],7-6(6) 6-4,,,,,,,,,
26_Mar_2018,Greece F5,Hard,R16,1592,402,(2)Yaraslau Shyla [BLR] d. (Q)Sinner,6-4 6-4,,,,,,,,,
26_Mar_2018,Greece F5,Hard,R32,1592,1211,(Q)Sinner d. Mateo Nicolas Martinez [ARG],6-4 6-2,,,,,,,,,
19_Mar_2018,Greece F4,Hard,R32,1592,585,(8)Rudolf Molleker [GER] d. Sinner,6-4 7-5,,,,,,,,,
12_Mar_2018,Greece F3,Hard,R32,1583,789,Guy Den Heijer [NED] d. Sinner,6-3 7-6(6),,,,,,,,,
29_Jan_2018,Egypt F3,Hard,R16,,445,(7)Johan Sebastien Tatlot [FRA] d. Sinner,6-3 6-4,,,,,,,,,
29_Jan_2018,Egypt F3,Hard,R32,,756,Sinner d. (Q)Aryan Goveas [IND],6-4 6-4,,,,,,,,,
