Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
25_Aug_2008,US Open,Hard,SF,6,1,(6)Murray d. (1)Rafael Nadal [ESP],6-2 7-6(5) 4-6 6-4, (ch),1.56,19.40%,2.80%,64.80%,78.60%,63.20%,3-Jan,3:31
25_Aug_2008,US Open,Hard,QF,6,17,(6)Murray d. (17)Juan Martin Del Potro [ARG],7-6(2) 7-6(1) 4-6 7-5, (ch),1.06,6.30%,5.60%,56.30%,71.60%,46.00%,18-Nov,3:57
25_Aug_2008,US Open,Hard,R16,6,10,(6)Murray d. (10)Stan Wawrinka [SUI],6-1 6-3 6-3,,1.49,11.50%,2.60%,55.10%,81.40%,51.40%,3-Mar,1:49
25_Aug_2008,US Open,Hard,R32,6,48,(6)Murray d. Jurgen Melzer [AUT],6-7(5) 4-6 7-6(5) 6-1 6-3,,1.51,12.40%,1.40%,54.50%,82.30%,60.60%,9-Jul,3:51
25_Aug_2008,US Open,Hard,R64,6,38,(6)Murray d. Michael Llodra [FRA],6-4 1-6 7-5 7-6(7),,0.95,8.70%,1.60%,57.50%,75.30%,46.30%,9-May,2:32
25_Aug_2008,US Open,Hard,R128,6,107,(6)Murray d. Sergio Roitman [ARG],6-3 6-4 6-0,,1.48,10.60%,3.50%,48.20%,80.50%,59.10%,2-Feb,1:34
11_Aug_2008,Beijing Olympics,Hard,R64,6,77,Yen Hsun Lu [TPE] d. (6)Murray,7-6(5) 6-4,,0.91,3.30%,2.20%,60.90%,58.90%,47.20%,11-Jul,2:10
28_Jul_2008,Cincinnati Masters,Hard,F,9,3,(8)Murray d. (3)Novak Djokovic [SRB],7-6(4) 7-6(5), (ch),1.19,1.10%,2.30%,52.30%,69.60%,61.90%,5-Mar,2:23
28_Jul_2008,Cincinnati Masters,Hard,SF,9,22,(8)Murray d. (16)Ivo Karlovic [CRO],6-4 6-4, (ch),1.59,1.90%,1.90%,77.40%,80.50%,41.70%,5-Mar,1:22
28_Jul_2008,Cincinnati Masters,Hard,QF,9,41,(8)Murray d. Carlos Moya [ESP],2-6 6-3 6-1,,1.48,18.50%,9.20%,46.20%,83.30%,51.40%,7-Apr,1:36
